Unique ID,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,writer,year
157,0,Lightyear Entertainment,UK,Robert Altman,Comedy,1028679,Aria,R,10/30/87,90,5.8,John Hurt,Robert Altman,1987
158,17000000,Cannon Films,UK,Sidney J. Furie,Action,15681020,Superman IV: The Quest for Peace,PG,7/24/87,90,3.6,Christopher Reeve,Joe Shuster,1987
159,20000000,Applied Action,USA,Tom Mankiewicz,Comedy,57387516,Dragnet,PG-13,6/26/87,106,5.9,Dan Aykroyd,Dan Aykroyd,1987
160,14000000,Orion Pictures,USA,Danny DeVito,Comedy,57915972,Throw Momma from the Train,PG-13,12/11/87,88,6.2,Danny DeVito,Stu Silver,1987
161,1000000,Atlantic Entertainment Group,USA,Rod Amateau,Adventure,1576615,The Garbage Pail Kids Movie,PG,8/22/87,100,2.7,Anthony Newley,Linda Palmer,1987
162,0,Heron Communications,USA,Jack Sholder,Action,9747988,The Hidden,R,10/30/87,96,7,Kyle MacLachlan,Jim Kouf,1987
163,0,TriStar Pictures,USA,Christopher Cain,Action,19734940,The Principal,R,9/18/87,109,6.2,James Belushi,Frank Deese,1987
164,3000000,Golan-Globus Productions,USA,Barbet Schroeder,Comedy,3221568,Barfly,R,10/16/87,100,7.3,Mickey Rourke,Charles Bukowski,1987
165,20000000,Amercent Films,USA,James L. Brooks,Comedy,51249404,Broadcast News,R,12/25/87,133,7.2,William Hurt,James L. Brooks,1987
166,0,British Screen Productions,UK,Alan Clarke,Comedy,124167,"Rita, Sue and Bob Too",R,5/29/87,93,6.4,Siobhan Finneran,Andrea Dunbar,1987
167,0,Warner Bros.,USA,Jim Drake,Comedy,28061343,Police Academy 4: Citizens on Patrol,PG,4/3/87,88,4.8,Steve Guttenberg,Neal Israel,1987
168,0,New World Pictures,USA,Ethan Wiley,Comedy,7800000,House II: The Second Story,PG-13,8/28/87,88,5.4,Arye Gross,Fred Dekker,1987
169,15000000,Amercent Films,USA,James Toback,Comedy,13290368,The Pick-up Artist,PG-13,9/18/87,81,5.2,Molly Ringwald,James Toback,1987
170,0,Universal Pictures,USA,Joe Dante,Comedy,548696,Amazon Women on the Moon,R,9/18/87,85,6.2,Rosanna Arquette,Michael Barrie,1987
171,0,Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,2488740,The Stepfather,R,6/5/87,89,6.8,Terry O'Quinn,Carolyn Lefcourt,1987
172,0,Panorama Film A/S,Denmark,Gabriel Axel,Comedy,4398938,Babette's Feast,G,3/4/88,102,7.8,St_phane Audran,Karen Blixen,1987
173,0,Orion Pictures,USA,John Schlesinger,Crime,18753438,The Believers,R,6/10/87,114,6.1,Martin Sheen,Mark Frost,1987
174,16000000,Orion Pictures,USA,Woody Allen,Comedy,14792779,Radio Days,PG,1/30/87,88,7.6,Mia Farrow,Woody Allen,1987
175,6000000,Universal Pictures,USA,Phil Joanou,Comedy,3685862,Three O'Clock High,PG-13,10/9/87,97,7.2,Casey Siemaszko,Richard Christian Matheson,1987
176,0,Vista Organization,USA,Robert Collector,Horror,1149470,Nightflyers,R,4/7/88,89,4,Catherine Mary Stewart,George R.R. Martin,1987
177,3000000,Emshell Producers,USA,John R. Cherry III,Comedy,23509382,Ernest Goes to Camp,PG,5/22/87,92,5.5,Jim Varney,John R. Cherry III,1987
178,17000000,Columbia Pictures Corporation,USA,Ridley Scott,Crime,10278549,Someone to Watch Over Me,R,10/9/87,106,6.1,Tom Berenger,Howard Franklin,1987
179,0,Amercent Films,USA,Bob Rafelson,Crime,25205460,Black Widow,R,2/6/87,102,6.3,Debra Winger,Ronald Bass,1987
180,0,Nouvelles Äditions de Films (NEF),France,Louis Malle,Drama,4542825,Au Revoir les Enfants,PG,2/12/88,104,8,Gaspard Manesse,Louis Malle,1987
181,0,Twentieth Century Fox Film Corporation,USA,Joe Roth,Comedy,30063289,Revenge of the Nerds II: Nerds in Paradise,PG-13,7/10/87,88,4.9,Robert Carradine,Tim Metcalfe,1987
182,29000000,Universal Pictures,UK,Richard Attenborough,Biography,5899797,Cry Freedom,PG,11/6/87,157,7.5,Denzel Washington,John Briley,1987
183,5000000,Cannon Group,USA,J. Lee Thompson,Action,6880310,Death Wish 4: The Crackdown,R,11/6/87,99,5.3,Charles Bronson,Brian Garfield,1987
184,0,7 Films Cin_ma,France,Älie Chouraqui,Action,519596,Man on Fire,R,9/4/87,87,5.9,Scott Glenn,A.J. Quinnell,1987
